label,max,min,range,average,var,size
high,230.324997,88.748962,141.576035,206.6539004285714,928.13173307751265,49
high,147.662628,97.266907,50.39572100000001,139.02230074999997,71.788022549903303,60
high,179.415253,94.198265,85.216988,157.99460288000003,339.47751786755271,75
high,171.010391,152.965912,18.044478999999995,161.77277768518513,26.8484619526774,54
high,215.155777,85.301338,129.854439,193.26432231343284,883.82612840347304,67
high,209.592926,116.715759,92.877167,189.28900979104478,574.41735258590825,67
high,197.929733,55.647755,142.281978,185.30047536507939,443.17674735218247,63
high,171.463135,146.163971,25.29916399999999,161.40705484482757,43.795290380070206,58
high,191.199539,156.096237,35.103301999999985,178.72141114666667,23.951864828230335,75
high,206.55275,158.424835,48.127915,177.55552970149253,27.352753776748678,67
high,207.413284,89.713539,117.69974500000001,179.7985380465116,246.75587137580175,43
high,189.07399,79.799767,109.274223,156.02792410447765,120.03699049931419,67
high,169.6772,143.488876,26.188323999999994,160.2071335185185,20.36947001129403,54
high,148.300323,136.29512,12.005202999999995,141.12718724489798,7.1259702226997712,49
high,199.560226,180.431427,19.128798999999987,188.65044218918916,18.064591790657108,37
high,179.806015,105.635353,74.17066200000001,160.309972609375,416.24756983237012,64
high,218.603195,193.86882,24.734375,204.35413703174598,28.248730573526075,63
law,113.666199,65.900505,47.76569400000001,94.41979677499998,65.48461271097834,80
law,110.541573,55.182297,55.359276,90.216499567164192,66.297418437420035,67
law,136.173981,66.44828,69.725701,107.90189591129031,68.085039149669242,124
law,110.037514,99.786758,10.250755999999996,102.92648188372094,2.6238365732636373,43
law,116.998367,98.145294,18.853072999999995,102.13648907526887,5.1163828777272524,93
law,161.564575,81.410767,80.15380799999998,93.502906178571408,45.468699321368703,140
law,126.698753,79.934975,46.763778,93.633585637681094,26.47250275534055,138
law,141.797852,67.757973,74.039879,92.831230503703722,70.699371062194828,135
law,156.882172,54.979046,101.903126,107.25357654455442,153.18806265801939,101
law,111.686218,79.176758,32.50945999999999,93.48195611688314,11.334836892907624,154
law,111.852654,73.980553,37.872101,95.881618645669249,29.224035028467185,127
law,136.796799,91.640427,45.15637199999999,100.31496138518521,21.478922834180342,135
law,171.540344,60.091877,111.44846700000001,109.37293939639646,129.36494895497842,111
law,128.842743,97.493454,31.349289000000013,103.66708847999999,15.987825939158194,150
law,130.8965,58.913834,71.982666,116.23482943065693,74.765659850654998,137
law,152.282074,92.759308,59.52276599999999,116.28977566666666,57.231833073906564,138
law,127.309174,56.632465,70.67670899999999,113.75439724137929,163.27213578018657,145
law,128.873932,54.208866,74.665066,93.68722324615382,67.978762126206888,130
law,117.617371,62.816322,54.801049000000006,91.692421846715334,33.216968103807773,137
