grade,max,min,range,average,var,size
4,150.331436,116.141632,34.189804,127.3644918,129.9063483,9
3,500.424316,53.465942,446.958374,101.1066363,3004.147571,86
3,210.469543,82.712616,127.756927,130.0215774,1612.330256,14
4,275.839996,53.3727,222.467296,87.79646771,2542.027724,174
2,182.705597,54.865711,127.839886,105.305605,714.9124307,184
4,185.064758,64.274094,120.790664,98.14951074,892.0632106,57
4,526.01355,55.463081,470.550469,124.5373617,5078.469475,126
2,527.710266,53.371342,474.338924,118.5352058,8226.50052,82
4,528.420776,68.582497,459.838279,120.3324576,12408.61578,28
2,183.110229,53.412205,129.698024,80.56154549,773.7471977,135
4,176.960129,53.398762,123.561367,66.26668039,1027.678732,56
2,470.984497,58.398155,412.586342,142.8789432,7454.959345,212
2,457.140717,53.4893,403.651417,121.7239309,3745.391447,224
2,273.487579,53.774544,219.713035,138.2081201,5102.011873,201
3,269.271332,60.727386,208.543946,116.6766149,3798.426013,156
4,353.198975,53.340923,299.858052,153.449479,5561.084488,180
4,332.46286,53.270599,279.192261,129.2247517,4419.334537,191
4,332.46286,53.270599,279.192261,129.2247517,4419.334537,191
4,245.973953,53.629505,192.344448,112.5569924,3110.86366,139
3,296.544281,54.179043,242.365238,116.4044398,4169.851365,295
3,528.685547,56.415058,472.270489,123.7969661,7511.639197,289
3,298.604553,55.270195,243.334358,122.817778,5736.649317,186
3,529.437683,56.170456,473.267227,144.9493413,15623.5892,115
3,509.416656,55.095291,454.321365,108.3049468,5936.28613,189
3,536.290405,56.191647,480.098758,158.1247021,14020.27904,187
3,538.44751,57.871742,480.575768,140.5225417,14917.47283,182
4,500.455292,55.717747,444.737545,146.9887846,12209.60259,246
4,297.739288,57.61116,240.128128,138.1847738,4561.163056,187
4,337.966522,56.859638,281.106884,106.1665032,3483.261278,187
3,253.596771,56.634346,196.962425,110.4898892,3794.845194,152
3,437.620392,54.888767,382.731625,126.5905445,5229.161054,225
3,280.595245,53.452309,227.142936,92.73477348,2560.357895,242
3,419.137512,56.626774,362.510738,114.2456563,6312.017774,284
3,292.039642,59.4151,232.624542,113.4125742,4500.950328,188
5,436.021576,58.431206,377.59037,102.2524735,2715.728097,177
5,438.618652,64.528954,374.089698,132.2877181,7162.711391,145
4,491.055511,54.558956,436.496555,134.6687139,9203.689054,284
4,282.279541,65.339775,216.939766,122.8045068,3971.310336,144
4,182.857132,56.839672,126.01746,91.55352712,544.1220655,229
4,340.18924,53.781963,286.407277,184.1913614,10410.01036,514
4,359.687347,53.376717,306.31063,154.6933143,9605.597739,201
4,265.687622,53.574593,212.113029,122.8501821,3822.592021,240
4,299.949127,54.391987,245.55714,102.7356602,6772.147418,144
3,313.206482,53.067966,260.138516,165.2830198,10403.5672,317
4,270.317841,53.386978,216.930863,93.34068733,3006.169249,448
4,115.825333,53.477077,62.348256,82.1846994,364.1240514,128
1,162.424118,53.781551,108.642567,91.31240065,498.9085908,147
2,529.600647,53.392056,476.208591,124.7737088,17361.22341,91
4,206.774292,53.367378,153.406914,79.53082255,1611.883216,77
4,532.445129,106.574341,425.870788,303.8231654,28835.82636,33
4,449.396179,59.937218,389.458961,176.7999645,13277.05683,108
4,338.375275,54.512417,283.862858,95.88008016,4139.764963,193
4,317.155701,53.39518,263.760521,144.6643065,8129.06584,100
3,536.07373,53.373615,482.700115,141.958288,13978.77261,182
5,438.302216,53.359451,384.942765,114.332662,9106.99623,151
4,330.174591,60.211678,269.962913,97.15701296,3241.386594,116
4,315.985901,53.480103,262.505798,133.4067014,7372.201528,71
5,345.98114,62.625393,283.355747,168.4196262,6814.793755,75
5,516.335571,53.285259,463.050312,136.1037036,19559.04049,156
2,350.280548,55.913628,294.36692,144.8424525,5535.636235,92
4,138.355667,53.331875,85.023792,79.65642109,747.2286466,99
1,538.73407,53.665279,485.068791,179.1753475,13660.84703,131
4,164.496719,53.503433,110.993286,73.85675993,712.5576178,193
4,157.616653,53.561558,104.055095,99.31703757,576.7651925,169
2,379.66394,53.891869,325.772071,163.4633119,8665.281727,103
1,277.202301,53.447018,223.755283,99.34378167,3053.045485,112
4,305.15033,53.986649,251.163681,133.9050174,6366.202262,90
2,534.74939,61.369114,473.380276,115.5227152,4514.609413,185
4,245.503723,53.727116,191.776607,88.20756038,3814.100607,88
5,470.595642,53.517975,417.077667,151.8676168,17817.06145,132
2,141.018951,55.818939,85.200012,120.1801906,433.2564004,215
3,508.784668,104.121658,404.66301,133.483092,2745.72678,210
3,249.995239,104.462868,145.532371,125.3838649,194.8280263,187
5,427.282837,108.447227,318.83561,132.5372803,1059.667549,207
4,534.043335,109.70472,424.338615,166.7682384,7421.331516,239
4,522.707703,69.110252,453.597451,111.0609451,2221.22787,212
3,369.71463,61.794361,307.920269,170.2048278,8545.965065,249
3,310.626953,73.591972,237.034981,123.4689972,743.8500373,250
4,505.226379,60.662945,444.563434,130.1455791,3918.994728,243
4,468.171143,76.450821,391.720322,177.7719171,9819.763444,295
3,517.827148,53.641598,464.18555,170.6671423,11748.37239,340
3,510.899445,113.013367,397.886078,267.6755452,12166.74335,490
3,411.239624,71.59877,339.640854,159.840749,7681.297134,334
4,414.65686,54.007984,360.648876,133.7579999,3685.261752,394
4,409.169067,57.168423,352.000644,117.4384243,961.4061691,353
4,344.789154,98.916611,245.872543,146.097703,3359.332956,238
4,467.389984,53.567127,413.822857,145.7103792,4800.775045,250
4,419.347382,71.816444,347.530938,136.829596,2455.843558,248
3,192.115845,84.433189,107.682656,120.1955377,78.62903399,224
4,479.38266,90.471481,388.911179,159.4728141,6570.368574,253
3,504.371979,100.05394,404.318039,153.5492153,10207.87518,242
4,526.268982,111.39225,414.876732,153.0192674,5861.269395,170
4,327.454193,71.535477,255.918716,140.8318417,1561.777042,269
4,127.883972,96.58831,31.295662,118.837971,19.65083195,182
3,465.954926,69.365196,396.58973,159.1887022,9338.584559,226
3,150.080627,108.342056,41.738571,131.4138276,41.11799128,228
4,541.166809,87.283997,453.882812,195.6545844,14477.97227,334
3,170.10762,67.737854,102.369766,124.1971238,418.2463709,341
3,466.603149,56.298698,410.304451,149.2751598,5432.782679,319
4,493.244202,94.395821,398.848381,138.2500977,5834.472246,268
3,358.357422,60.007187,298.350235,105.2159299,4307.42968,172
2,374.575104,56.232101,318.343003,105.7423219,4017.044514,166
2,183.849701,56.366779,127.482922,96.88057112,484.2133408,170
2,117.142342,54.258499,62.883843,91.91195201,52.15983199,149
2,462.665558,77.281219,385.384339,123.3352175,8269.014281,174
2,175.595749,53.730038,121.865711,95.69061206,554.0930525,175
2,113.209801,55.714443,57.495358,91.47850082,49.07182224,170
