label,max,min,range,average,var,size
high,0.0,0.0,0.0,0.0,0.0,65
high,79.859016,0.0,79.859016,1.1919256119402986,93.765319850350593,67
high,0.0,0.0,0.0,0.0,0.0,72
high,224.364426,0.0,224.364426,77.10716655319149,8162.2894107876245,94
high,219.329941,0.0,219.329941,76.902211274725289,8036.5286599077681,91
high,196.340042,0.0,196.340042,83.217714747252742,8206.9630106091645,91
high,188.963242,0.0,188.963242,78.451127041666666,7377.6089836124784,96
high,187.114685,0.0,187.114685,85.76938904166667,7148.5528711716634,96
high,187.698059,0.0,187.698059,71.934071224719091,7043.0726766114876,89
high,184.724701,0.0,184.724701,82.495743329545462,7527.5365607735994,88
high,222.712601,0.0,222.712601,60.103456734374994,7431.9490791829976,64
high,180.398682,0.0,180.398682,81.647970000000001,7055.5341085713626,94
high,184.637451,0.0,184.637451,75.13098859090907,7318.3377662442999,88
high,191.357513,0.0,191.357513,76.187003925531897,7658.6490112431866,94
high,182.9505,0.0,182.9505,69.824230260869555,6736.277003665894,92
high,180.393784,0.0,180.393784,83.070315329896886,6586.623797610323,97
high,176.666351,0.0,176.666351,65.473447087912106,6355.0727369772958,91
high,175.939896,0.0,175.939896,72.177994771739137,6857.2436298193898,92
high,206.628738,0.0,206.628738,72.924014968085118,7297.793785355103,94
high,181.924973,0.0,181.924973,75.423691782608685,6960.1492253851202,92
high,182.77417,0.0,182.77417,77.459972206521741,7253.0943065479514,92
high,178.578445,0.0,178.578445,73.828081369565211,6614.6497484017164,92
high,174.089935,0.0,174.089935,73.13843725000001,6500.0343899210975,88
high,116.950638,0.0,116.950638,20.786228645161287,1403.584186368875,62
high,0.0,0.0,0.0,0.0,0.0,73
high,541.688477,0.0,541.688477,106.30895803370788,17607.930344748169,89
high,184.804001,0.0,184.804001,66.615275870000005,6997.34636259525,100
high,184.109009,0.0,184.109009,71.243003975903605,7123.8984666238484,83
high,190.99736,0.0,190.99736,79.676812648351671,8134.5204239103441,91
high,190.205139,0.0,190.205139,71.334397627659584,7535.2349362524592,94
high,194.363281,0.0,194.363281,74.040236119565222,7854.3255628450452,92
high,254.061859,0.0,254.061859,88.133296361702151,8663.1536737076221,94
high,177.741592,0.0,177.741592,72.459722271739139,6854.0371621881059,92
high,187.235901,0.0,187.235901,80.442351130434773,7764.3038803672544,92
high,394.467316,0.0,394.467316,62.308449750000008,13706.330999722633,64
high,199.593765,0.0,199.593765,76.29562652325582,7461.7297796008843,86
high,176.437195,0.0,176.437195,61.159112242424264,6077.0772122157005,99
high,392.886841,0.0,392.886841,72.311848513157884,11551.511359857956,76
high,191.492249,0.0,191.492249,52.999909971428565,6566.012193540676,70
high,398.15683,0.0,398.15683,91.855903187500004,12824.453546718209,80
high,178.852982,0.0,178.852982,69.003385337209295,6972.9833290586002,86
high,181.964432,0.0,181.964432,72.794363565217395,6918.9791827711651,92
high,177.903625,0.0,177.903625,71.283484505494485,6830.2666622599627,91
high,180.197632,0.0,180.197632,67.985188056818188,6761.8681692114496,88
high,0.0,0.0,0.0,0.0,0.0,105
high,197.259796,0.0,197.259796,80.8467244047619,7307.7486961305522,84
high,173.753662,0.0,173.753662,65.089938824175832,5467.3890120767155,91
high,161.357895,0.0,161.357895,61.769119304347818,5487.034451899227,92
high,0.0,0.0,0.0,0.0,0.0,88
high,162.286179,0.0,162.286179,62.660967670329676,5198.2451035967915,91
high,164.92926,0.0,164.92926,71.880743336956542,5435.2072057335881,92
high,262.387665,0.0,262.387665,77.526982851063821,6593.5087887855061,94
high,155.433121,0.0,155.433121,60.521981549450544,4975.0623701111217,91
high,155.875305,0.0,155.875305,70.085814385416683,5199.097469888573,96
high,179.192139,0.0,179.192139,63.301680824999991,5024.8029180328895,80
high,177.617142,0.0,177.617142,72.825312875000009,6453.8705042522915,88
high,0.0,0.0,0.0,0.0,0.0,68
high,156.850906,0.0,156.850906,64.111498833333357,4822.8286685855037,96
high,171.018509,0.0,171.018509,64.234032906250007,5115.9474368902447,96
high,153.031784,0.0,153.031784,60.080125604651158,5059.9356592994309,86
high,167.548813,0.0,167.548813,57.845969478260848,4597.6363926825479,92
high,143.664368,0.0,143.664368,59.052338076086947,4373.1697127877269,92
high,148.776917,0.0,148.776917,59.503616829545464,4704.6311002520788,88
high,166.748199,0.0,166.748199,68.029681715909106,5886.6240069645028,88
high,162.108948,0.0,162.108948,65.85314293478261,5700.1327530469125,92
high,322.244781,0.0,322.244781,180.74503791935481,22881.643393463019,124
high,317.208344,0.0,317.208344,86.21805504687498,17720.970286069598,64
high,328.396545,0.0,328.396545,161.4535660521739,23933.399784842022,115
high,335.917999,0.0,335.917999,157.98117823008846,23785.625571272518,113
high,348.031342,0.0,348.031342,151.05281023008848,24718.484968934801,113
high,340.800049,0.0,340.800049,190.46868219999999,24797.35540816651,115
high,343.112823,0.0,343.112823,193.12411595312506,25641.260657213057,128
